row_id,measure,effectiveness,reason,reason_clean,sum_reason
25,propellas,moderately,They thing it is trap,scare,Psychological
28,propellas,moderately,Act as a trap,scare,Psychological
30,propellas,moderately,Giraffes that are not familiar run when they hear this but those used to it stay,scare,Psychological
31,propellas,moderately,It produces sound that chase away Giraffes,scare,Psychological
80,propellas,Highly,They make noise making the,scare,Psychological
81,propellas,Highly,They run when they here sounds made by bottle filled with stones,scare,Psychological
96,propellas,moderately,They make noise,scare,Psychological
106,propellas,moderately,Some are afrother don't care,scare,Psychological
107,propellas,moderately,This helps with new individuals and maybe females males do not care,scare,Psychological
114,propellas,Highly,When someone shakes it they go but when tied to be blown by wind it doesn't help,scare,Psychological
115,propellas,moderately,They chase them away,scare,Psychological
117,propellas,Highly,They make noise to chase them but not when they are rushing,scare,Psychological
118,propellas,moderately,They make noise chasing them but they return,scare,Psychological
132,propellas,Highly,They scare them aways,scare,Psychological
139,propellas,Highly,They make nose and giraffe don't like noise,scare,Psychological
157,propellas,moderately,They avoid places with sheets tied for wind to blow,scare,Psychological
24,propellas,moderately,Reduce Giraffe invasion,unsure,Unsure
84,propellas,moderately,we just use fire for visibility,unsure,Unsure
149,scarecrow,moderately,First few days it works but they get used to it,got used to,Behavioral
